clique_id,lemma,upos,affix,stem,synonyms,hypernyms
33,force,NNS,s,forc,effect|force|force out|force play|force-out|forcefulness|military force|military group|military unit|personnel|power|strength|violence,influence|physical phenomenon|intensity|intensiveness|organization|organisation|unit|social unit|aggression|hostility|causal agent|cause|causal agency|social group|validity|validness|putout
33,command,VBN,ed,command,command|control|dominate|overlook|overtop|require,dominate|master|order|tell|enjoin|say|demand|exact|lie
33,guillermo,NNP,NA,guillermo,,NA
33,montgrus,NNP,s,montgru,,NA
33,solid,JJ,NA,solid,firm|hearty|satisfying|self-colored|self-coloured|solid|square|strong|substantial|unanimous|upstanding|whole,
33,catalonian,NNP,NA,catalonian,,NA
33,citizen,NN,NA,citizen,citizen,national|subject
33,titular,NN,NA,titular,,NA
33,ecclesiastical,JJ,NA,ecclesiast,ecclesiastic|ecclesiastical,
33,rank,NN,NA,rank,membership|rank|rank and file|social rank|social station|social status,line|status|position|force|personnel|body
34,few,JJ,NA,few,few,
34,skirmish,NNS,s,skirmish,brush|clash|encounter|skirmish,fight|fighting|combat|scrap
34,catalonian,NNP,NA,catalonian,,NA
34,troops,NNS,NA,troop,military personnel|soldiery|troops,force|personnel
34,be,VBD,ed,be,be|comprise|constitute|cost|embody|equal|exist|follow|live|make up|personify|represent,NA
34,ready,JJ,NA,readi,quick|ready|ready(a),
34,deal,VB,NA,deal,address|administer|allot|apportion|care|carry on|conduct|consider|contend|cope|cover|deal|deal out|dish out|dispense|distribute|divvy up|dole out|get by|grapple|handle|look at|lot|make do|make out|manage|mete out|parcel out|plow|portion out|sell|share|shell out|take|trade|treat,broach|initiate|think about|act|move|give|transact|control|command|behave|acquit|bear|deport|conduct|comport|carry|distribute|administer|mete out|deal|parcel out|lot|dispense|shell out|deal out|dish out|allot|dole out|manage|care|handle|give out|hand out|pass out|pass|hand|reach|pass on|turn over|sell|trade
34,death,NN,NA,death,death|Death|decease|demise|destruction|dying|end|expiry|last,change|alteration|modification|organic phenomenon|state|end|ending|killing|kill|putting to death
34,blow,NN,NA,blow,black eye|blast|blow|bump|C|coke|gust|nose candy|puff|reversal|reverse|setback|shock|snow,stroke|impact|happening|occurrence|occurrent|natural event|surprise|wind|air current|current of air|cocaine|cocain|exhalation|expiration|breathing out
35,one,CD,NA,on,NA,NA
35,pincer,NN,NA,pincer,chela|claw|nipper|pair of pincers|pair of tweezers|pincer|tweezer,hand tool|extremity|appendage|member
35,batter,VBD,ed,batter,baste|batter|buffet|clobber|dinge|knock about,strike|beat|beat up|work over|change shape|change form|deform
35,way,NN,NA,wai,agency|direction|elbow room|fashion|manner|means|mode|path|room|style|way|way of life,property|implementation|effectuation|path|route|itinerary|condition|status|course|course of action|artifact|artefact|journey|journeying|position|spatial relation|distance|choice|pick|selection|category|share|portion|part|percentage
35,rebuild,VBN,ed,rebuild,rebuild|reconstruct,construct|build|make
35,city,NN,NA,citi,city|metropolis|urban center,municipality|administrative district|administrative division|territorial division
35,wall,NN,NA,wall,bulwark|paries|rampart|wall,partition|divider|object|physical object|stratum|difficulty|geological formation|formation|layer|bed|fence|fencing|embankment
35,other,JJ,NA,other,early(a)|former(a)|other|other(a),
35,—,NN,NA,—,,NA
35,be,VBZ,s,be,be|comprise|constitute|cost|embody|equal|exist|follow|live|make up|personify|represent,NA
35,say,VBN,ed,sai,allege|articulate|aver|enjoin|enounce|enunciate|order|pronounce|read|say|sound out|state|suppose|tell,express|verbalize|verbalise|utter|give tongue to|assert|asseverate|maintain|speculate|have|feature|request|convey|recite|read|register|show|record
35,—,NN,NA,—,,NA
35,infiltrate,VBN,ed,infiltr,infiltrate|pass through|penetrate,percolate|sink in|permeate|filter|join|fall in|get together|pass
35,secret,JJ,NA,secret,clandestine|cloak-and-dagger|confidential|hidden|hole-and-corner(a)|hugger-mugger|hush-hush|mysterious|mystic|mystical|occult|orphic|private|privy|secluded|secret|surreptitious|unavowed|undercover|underground,
35,passage,NN,NA,passag,enactment|handing over|musical passage|passage|passageway|passing|transit|transition,change of state|section|subdivision|way|legislation|legislating|lawmaking|journey|journeying|musical composition|opus|composition|piece|piece of music|structure|anatomical structure|complex body part|bodily structure|body structure|reaction|response|movement|motion|delivery|bringing
35,reveal,VBD,ed,reveal,break|bring out|disclose|discover|divulge|expose|give away|let on|let out|reveal|uncover|unveil|unwrap,show|tell|unwrap|disclose|let on|bring out|reveal|discover|expose|divulge|break|give away|let out|uncover
35,invader,NNS,s,invad,encroacher|invader,intruder|interloper|trespasser
