clique_id,lemma,upos,affix,stem,synonyms,hypernyms
1,glutamate,NNP,NA,glutam,glutamate,salt
1,decarboxylase,NN,NA,decarboxylas,decarboxylase,enzyme
1,gad,NNP,NA,gad,anxiety reaction|gad|GAD|generalized anxiety disorder|spur,anxiety disorder|prod|goad
1,catalyze,NNS,s,catalyz,,NA
1,formation,NN,NA,format,constitution|establishment|formation|geological formation|organisation|organization|shaping,arrangement|fabrication|manufacture|manufacturing|beginning|start|commencement|object|physical object|placement|natural process|natural action|action|activity|creating by mental acts
1,inhibitory,NN,NA,inhibitori,,NA
1,neurotransmitter,NN,NA,neurotransmitt,neurotransmitter,neurochemical
1,γ-amino,JJ,NA,γ-amino,,NA
1,butyric,JJ,NA,butyr,butyric,
1,acid,NN,NA,acid,acid|back breaker|battery-acid|dose|dot|Elvis|loony toons|Lucy in the sky with diamonds|pane|superman|window pane|Zen,compound|chemical compound|lysergic acid diethylamide|LSD
1,gaba,NNP,NA,gaba,GABA|gamma aminobutyric acid,amino acid|aminoalkanoic acid|neurotransmitter
1,glutamate,NN,NA,glutam,glutamate,salt
2,mammal,NNS,s,mammal,mammal|mammalian,vertebrate|craniate
2,two,CD,NA,two,NA,NA
2,isoform,NNS,s,isoform,,NA
2,enzyme,NN,NA,enzym,enzyme,protein|catalyst|accelerator
2,gad,NNP,NA,gad,anxiety reaction|gad|GAD|generalized anxiety disorder|spur,anxiety disorder|prod|goad
2,67,CD,NA,67,NA,NA
2,gad,NNP,NA,gad,anxiety reaction|gad|GAD|generalized anxiety disorder|spur,anxiety disorder|prod|goad
2,65,CD,NA,65,NA,NA
2,be,VBP,NA,be,be|comprise|constitute|cost|embody|equal|exist|follow|live|make up|personify|represent,NA
2,express,VBN,ed,express,carry|convey|evince|express|extract|give tongue to|press out|show|state|utter|verbalise|verbalize,convey|communicate|intercommunicate|denote|refer|realize|realise|actualize|actualise|substantiate|get|acquire|mail|post|send
2,two,CD,NA,two,NA,NA
2,separate,JJ,NA,separ,disjoined|freestanding|separate,
2,gene,NNS,s,gene,cistron|factor|gene,sequence
2,gad,NNP,NA,gad,anxiety reaction|gad|GAD|generalized anxiety disorder|spur,anxiety disorder|prod|goad
2,1,CD,NA,1,NA,NA
2,gad,NNP,NA,gad,anxiety reaction|gad|GAD|generalized anxiety disorder|spur,anxiety disorder|prod|goad
2,2,CD,NA,2,NA,NA
2,respectively,RB,NA,respect,respectively|severally,
2,[,NN,NA,[,,NA
2,1,CD,NA,1,NA,NA
2,2,CD,NA,2,NA,NA
2,3,CD,NA,3,NA,NA
2,],NN,NA,],,NA
3,gaba,NNP,NA,gaba,GABA|gamma aminobutyric acid,amino acid|aminoalkanoic acid|neurotransmitter
3,signal,VBG,ing,signal,bespeak|betoken|indicate|point|sign|signal|signalise|signalize,communicate|intercommunicate|tell
3,play,VBZ,s,plai,act|act as|bet|bring|dally|diddle|encounter|fiddle|flirt|make for|meet|play|playact|recreate|represent|roleplay|run|spiel|take on|toy|trifle|wager|work|wreak,NA
