clique_id,lemma,upos,affix,stem,synonyms,hypernyms
1,embryological,NNP,NA,embryolog,,NA
1,literature,NN,NA,literatur,lit|literature,writing|written material|piece of writing|literary study|profession
1,include,VBZ,s,includ,admit|include|let in,see|consider|reckon|view|regard|add|permit|allow|let|countenance
1,broad,JJ,NA,broad,across-the-board|all-embracing|all-encompassing|all-inclusive|blanket(a)|broad|broad(a)|encompassing|extensive|full(a)|large-minded|liberal|panoptic|spacious|tolerant|unspecific|unsubtle|wide,
1,array,NN,NA,arrai,array|raiment|regalia,arrangement|display|clothing|article of clothing|vesture|wear|wearable|habiliment|directional antenna
1,description,NNS,s,descript,description|verbal description,statement|speech act|kind|sort|form|variety
1,development,NN,NA,develop,developing|development|evolution|exploitation|growing|growth|maturation|ontogenesis|ontogeny,improvement|process|physical process|organic process|biological process|change|alteration|modification|use|usage|utilization|utilisation|employment|exercise|district|territory|territorial dominion|dominion|melioration|processing|section|subdivision
1,one,CD,NA,on,NA,NA
1,organism,NN,NA,organ,being|organism,living thing|animate thing|system|scheme
2,monophyletic,JJ,NA,monophylet,,NA
2,ancestry,NN,NA,ancestri,ancestry|blood|blood line|bloodline|derivation|descent|filiation|line|line of descent|lineage|origin|parentage|pedigree|stemma|stock,genealogy|family tree|inheritance|hereditary pattern
2,vertebrate,NNS,s,vertebr,craniate|vertebrate,chordate
2,possible,JJ,NA,possibl,possible|potential,
2,exception,NN,NA,except,elision|exception|exclusion,omission|example|illustration|instance|representative|objection
2,cyclostome,NNS,s,cyclostom,cyclostome,jawless vertebrate|jawless fish|agnathan
2,imply,VBZ,s,impli,connote|entail|imply|incriminate|inculpate|involve|mean,express|show|evince|necessitate|suggest|evoke|paint a picture|have|feature
2,common,JJ,NA,common,coarse|common|mutual|plebeian|rough-cut|uncouth|unwashed|usual|vernacular|vulgar,
2,inherit,VBN,ed,inherit,inherit,get|acquire|receive|have
2,mechanistic,JJ,NA,mechanist,mechanistic,
2,theme,NNS,s,theme,base|composition|idea|melodic theme|motif|musical theme|paper|radical|report|root|root word|stem|subject|theme|topic,message|content|subject matter|substance|idea|thought|tune|melody|air|strain|melodic line|line|melodic phrase|essay|form|word form|signifier|descriptor
2,exist,VBP,NA,exist,be|exist|live|subsist|survive,
2,development,NN,NA,develop,developing|development|evolution|exploitation|growing|growth|maturation|ontogenesis|ontogeny,improvement|process|physical process|organic process|biological process|change|alteration|modification|use|usage|utilization|utilisation|employment|exercise|district|territory|territorial dominion|dominion|melioration|processing|section|subdivision
3,difference,NNS,s,differ,conflict|departure|deviation|difference|difference of opinion|dispute|divergence|remainder,quality|variation|fluctuation|disagreement|change|number
3,reflect,VB,NA,reflect,chew over|contemplate|excogitate|meditate|mull|mull over|muse|ponder|reflect|reverberate|ruminate|shine|speculate|think over,indicate|point|designate|show|think|cogitate|cerebrate|emit|give out|give off|attest|certify|manifest|demonstrate|evidence
3,adaptation,NNS,s,adapt,adaptation|adaption|adjustment|version,writing|written material|piece of writing|organic process|biological process|alteration|modification|adjustment
3,various,JJ,NA,variou,assorted|diverse|respective(a)|several(a)|various|various(a)|versatile,
3,environmental,JJ,NA,environment,environmental,
