text,clique,index,v,e,clique_id
S0045790617315720,NA,global,0,0,S0020025508004520_238
S0045790617315720,NA,global,0,0,S0020025514004137_24
S0045790617315720,NA,global,0.111111111111111,0.005434782608696,S0020025514004137_58
S0045790617315720,NA,global,0,0,S0020025514004137_117
S0045790617315720,NA,global,0.083333333333333,0.001818181818182,S0020025514009608_26
S0045790617315720,NA,global,0.25,0.0042194092827,S0020025514009608_81
S0045790617315720,NA,global,0,0,S0020025514009608_155
S0045790617315720,NA,global,0.166666666666667,0.002702702702703,S0020025514009608_236
S0045790617315720,NA,global,0.058823529411765,0.001008064516129,S0020025514009608_330
S0045790617315720,NA,global,0.2,0.006024096385542,S0020025516310283_107
S0045790617315720,NA,global,0.333333333333333,0.003875968992248,S0020025518301300_12
S0045790617315720,NA,global,0.384615384615385,0.006720430107527,S0020025518301300_168
S0045790617315720,NA,global,0.333333333333333,0.001226993865031,S002002551930043X_8
S0045790617315720,NA,global,0.083333333333333,0.003305785123967,S002002551930043X_121
S0045790617315720,NA,global,0.5,0.003389830508475,S002002551930043X_219
S0045790617315720,NA,global,0.142857142857143,0.001282051282051,S002002551930043X_272
S0045790617315720,NA,global,0.357142857142857,0.001491424310216,S002002551930043X_302
S0045790617315720,NA,global,0.272727272727273,0.003409090909091,S0020025520312263_8
S0045790617315720,NA,global,0.4,0.000931098696462,S0020025520312263_175
S0045790617315720,NA,global,0.1875,0.000404858299595,S0020025520312263_201
S0045790617315720,NA,global,0.428571428571429,0.00121359223301,S0020025520312263_230
S0045790617315720,NA,global,0.571428571428571,0,S0020025520312263_239
S0045790617315720,NA,global,0.166666666666667,0.002127659574468,S0045790617315720_17
S0045790617315720,NA,global,0,0.002849002849003,S0045790617315720_126
S0045790617315720,NA,global,0.266666666666667,0,S0098135412001846_37
S0045790617315720,NA,global,0.142857142857143,0.001277139208174,S0098135414000398_126
S0045790617315720,NA,global,0.1875,0.001091107474086,S0098135414000398_188
S0045790617315720,NA,global,0.285714285714286,0.0003367003367,S0098135414000398_190
S0045790617315720,NA,global,0.454545454545455,0.001075268817204,S0098135414000398_246
S0045790617315720,NA,global,0.4,0.001552795031056,S0098135414000398_282
S0045790617315720,NA,global,0.352941176470588,0.000826446280992,S0098135414000398_430
S0045790617315720,NA,global,0.4,0.000955109837631,S0140366410002410_111
S0045790617315720,NA,global,0.444444444444444,0.001785714285714,S0140366415002406_64
S0045790617315720,NA,global,0.263157894736842,0.00070821529745,S0140366415002406_189
S0045790617315720,NA,global,0.285714285714286,0.000251889168766,S0140366415002406_208
S0045790617315720,NA,global,0.621621621621622,0.00036443148688,S0140366415002406_215
S0045790617315720,NA,global,0.444444444444444,0.000847457627119,S0166361514001456_23
S0045790617315720,NA,global,0.533333333333333,0,S0166361514001456_122
S0045790617315720,NA,global,0.75,0,S0166361519305445_53
S0045790617315720,NA,global,0.363636363636364,0.000891000891001,S0166361519305445_100
S0045790617315720,NA,global,0.666666666666667,0.001024590163934,S0166361519305445_102
S0045790617315720,NA,global,0.192307692307692,0.000568020448736,S0166361519305445_107
S0045790617315720,NA,global,0.6875,0.000764818355641,S0166361519305445_231
S0045790617315720,NA,global,0.833333333333333,0,S0166361519305445_342
S0045790617315720,NA,global,0.25,0.000403225806452,S0166361520305364_6
S0045790617315720,NA,global,0.454545454545455,0.000868055555556,S0166361520305364_20
S0045790617315720,NA,global,0.3125,0.000572655690766,S0166361520305364_60
S0045790617315720,NA,global,0.5,0.000614439324117,S0166361520305364_83
S0045790617315720,NA,global,0.333333333333333,0.000129165590287,S0166361520305364_102
S0045790617315720,NA,global,0.571428571428571,0.000566893424036,S0166361520305364_201
S0045790617315720,NA,global,0.428571428571429,0.000421585160202,S0166361520305364_222
S0045790617315720,NA,global,0.625,0.00109649122807,S0166361520305364_308
S0045790617315720,NA,global,0.333333333333333,0.000806451612903,S0166361520305364_321
S0045790617315720,NA,global,0.384615384615385,0.000358680057389,S0198971521000363_38
S0045790617315720,NA,global,0.666666666666667,0,S0198971521000363_41
S0045790617315720,NA,global,0.464285714285714,0.000306278713629,S0198971521000363_131
S0045790617315720,NA,global,0.625,0.000967585873246,S0198971521000363_206
S0045790617315720,NA,global,0.25,0.001108156028369,S0306457318305211_74
S0045790617315720,NA,global,0.454545454545455,0.000230840258541,S0306457318305211_181
S0045790617315720,NA,global,0.416666666666667,0.000779575131553,S0306457318305211_268
S0045790617315720,NA,global,0.25,0,S0306457318305211_336
S0045790617315720,NA,global,0.55,0.000543995648035,S0306457319303267_77
S0045790617315720,NA,global,0.529411764705882,0.000166002656042,S0306457319303267_257
S0045790617315720,NA,global,0.416666666666667,0.000738279808047,S0306457319303267_265
S0045790617315720,NA,global,0.545454545454545,0.000509554140127,S0306457319303267_280
S0045790617315720,NA,global,0.555555555555556,0.000627352572146,S0306457319303267_297
S0045790617315720,NA,global,0.75,0,S0306457319303267_299
S0045790617315720,NA,global,0.444444444444444,0.000981595092025,S0306457319303267_338
S0045790617315720,NA,global,0.523809523809524,0.000112485939258,S0306457319303474_41
S0045790617315720,NA,global,0.5,0.000197941409343,S0306457319303474_128
S0045790617315720,NA,global,0.181818181818182,0.000777000777001,S0306457319303474_142
S0045790617315720,NA,global,0.277777777777778,0.000355302895719,S0306457319303474_249
S0045790617315720,NA,global,0.636363636363636,0.000566893424036,S0306457319303474_261
